COUNTRY_NAME,COUNT,LATITUDE,LONGITUDE
Argentina,1,-34.416569,-58.871159
Canada,21,45.508839,-73.587807
China,5,39.907501,116.397102
France,1,48.583714,7.742745
Germany,23,48.147289,11.569095
Hong Kong,2,22.285521,114.157692
Ireland,16,53.344151,-6.267249
Korea (the Republic of),4,37.279179,127.442421
Montenegro,1,42.773102,18.94446
Netherlands (Kingdom of the),1,52.378502,4.89998
Russian Federation,2,55.752258,37.615471
Singapore,15,1.289987,103.850281
Thailand,1,13.749976,100.516815
United Kingdom of Great Britain and Northern Ireland,3,51.50853,-0.12574
United States of America,104,36.667641,-78.387497
Viet Nam,2,21.02441,105.841461
